Category: All categories

Week,beans: (United Kingdom)
2018-11-04,47
2018-11-11,48
2018-11-18,50
2018-11-25,50
2018-12-02,49
2018-12-09,48
2018-12-16,39
2018-12-23,42
2018-12-30,54
2019-01-06,65
2019-01-13,62
2019-01-20,58
2019-01-27,57
2019-02-03,57
2019-02-10,60
2019-02-17,57
2019-02-24,54
2019-03-03,56
2019-03-10,53
2019-03-17,58
2019-03-24,59
2019-03-31,56
2019-04-07,57
2019-04-14,55
2019-04-21,55
2019-04-28,59
2019-05-05,59
2019-05-12,56
2019-05-19,57
2019-05-26,54
2019-06-02,55
2019-06-09,59
2019-06-16,57
2019-06-23,49
2019-06-30,53
2019-07-07,53
2019-07-14,53
2019-07-21,57
2019-07-28,58
2019-08-04,58
2019-08-11,60
2019-08-18,56
2019-08-25,60
2019-09-01,64
2019-09-08,61
2019-09-15,58
2019-09-22,61
2019-09-29,57
2019-10-06,57
2019-10-13,54
2019-10-20,54
2019-10-27,54
2019-11-03,53
2019-11-10,56
2019-11-17,53
2019-11-24,60
2019-12-01,53
2019-12-08,48
2019-12-15,47
2019-12-22,42
2019-12-29,52
2020-01-05,67
2020-01-12,63
2020-01-19,64
2020-01-26,59
2020-02-02,61
2020-02-09,58
2020-02-16,56
2020-02-23,54
2020-03-01,59
2020-03-08,54
2020-03-15,59
2020-03-22,73
2020-03-29,82
2020-04-05,89
2020-04-12,92
2020-04-19,93
2020-04-26,100
2020-05-03,95
2020-05-10,91
2020-05-17,92
2020-05-24,89
2020-05-31,86
2020-06-07,80
2020-06-14,78
2020-06-21,73
2020-06-28,76
2020-07-05,71
2020-07-12,75
2020-07-19,73
2020-07-26,67
2020-08-02,76
2020-08-09,70
2020-08-16,72
2020-08-23,68
2020-08-30,62
2020-09-06,62
2020-09-13,65
2020-09-20,65
2020-09-27,63
2020-10-04,60
2020-10-11,59
2020-10-18,60
2020-10-25,62
2020-11-01,57
