Category: All categories

Week,zum Mitnehmen: (Germany)
2018-11-04,35
2018-11-11,36
2018-11-18,49
2018-11-25,43
2018-12-02,49
2018-12-09,43
2018-12-16,43
2018-12-23,42
2018-12-30,42
2019-01-06,39
2019-01-13,51
2019-01-20,41
2019-01-27,43
2019-02-03,38
2019-02-10,37
2019-02-17,44
2019-02-24,46
2019-03-03,46
2019-03-10,41
2019-03-17,42
2019-03-24,43
2019-03-31,66
2019-04-07,52
2019-04-14,48
2019-04-21,44
2019-04-28,48
2019-05-05,41
2019-05-12,36
2019-05-19,43
2019-05-26,44
2019-06-02,55
2019-06-09,42
2019-06-16,58
2019-06-23,62
2019-06-30,42
2019-07-07,45
2019-07-14,47
2019-07-21,52
2019-07-28,43
2019-08-04,53
2019-08-11,43
2019-08-18,58
2019-08-25,54
2019-09-01,43
2019-09-08,49
2019-09-15,44
2019-09-22,49
2019-09-29,41
2019-10-06,46
2019-10-13,55
2019-10-20,55
2019-10-27,43
2019-11-03,37
2019-11-10,57
2019-11-17,45
2019-11-24,51
2019-12-01,56
2019-12-08,46
2019-12-15,36
2019-12-22,52
2019-12-29,58
2020-01-05,39
2020-01-12,40
2020-01-19,45
2020-01-26,42
2020-02-02,39
2020-02-09,46
2020-02-16,51
2020-02-23,44
2020-03-01,41
2020-03-08,28
2020-03-15,42
2020-03-22,62
2020-03-29,65
2020-04-05,62
2020-04-12,57
2020-04-19,73
2020-04-26,74
2020-05-03,73
2020-05-10,59
2020-05-17,62
2020-05-24,55
2020-05-31,51
2020-06-07,56
2020-06-14,48
2020-06-21,58
2020-06-28,49
2020-07-05,54
2020-07-12,58
2020-07-19,54
2020-07-26,59
2020-08-02,74
2020-08-09,70
2020-08-16,71
2020-08-23,68
2020-08-30,47
2020-09-06,58
2020-09-13,51
2020-09-20,59
2020-09-27,63
2020-10-04,56
2020-10-11,69
2020-10-18,64
2020-10-25,67
2020-11-01,100
