Category: All categories

Week,zum Mitnehmen: (Germany)
2018-04-15,37
2018-04-22,46
2018-04-29,60
2018-05-06,35
2018-05-13,37
2018-05-20,51
2018-05-27,46
2018-06-03,52
2018-06-10,43
2018-06-17,37
2018-06-24,34
2018-07-01,39
2018-07-08,55
2018-07-15,37
2018-07-22,51
2018-07-29,59
2018-08-05,64
2018-08-12,54
2018-08-19,55
2018-08-26,50
2018-09-02,52
2018-09-09,41
2018-09-16,40
2018-09-23,54
2018-09-30,36
2018-10-07,47
2018-10-14,41
2018-10-21,46
2018-10-28,49
2018-11-04,39
2018-11-11,19
2018-11-18,37
2018-11-25,42
2018-12-02,33
2018-12-09,44
2018-12-16,34
2018-12-23,41
2018-12-30,37
2019-01-06,41
2019-01-13,43
2019-01-20,39
2019-01-27,41
2019-02-03,43
2019-02-10,34
2019-02-17,54
2019-02-24,49
2019-03-03,53
2019-03-10,44
2019-03-17,34
2019-03-24,55
2019-03-31,45
2019-04-07,42
2019-04-14,48
2019-04-21,41
2019-04-28,50
2019-05-05,36
2019-05-12,32
2019-05-19,37
2019-05-26,43
2019-06-02,35
2019-06-09,56
2019-06-16,71
2019-06-23,49
2019-06-30,38
2019-07-07,47
2019-07-14,35
2019-07-21,49
2019-07-28,48
2019-08-04,70
2019-08-11,55
2019-08-18,50
2019-08-25,63
2019-09-01,30
2019-09-08,62
2019-09-15,34
2019-09-22,45
2019-09-29,36
2019-10-06,41
2019-10-13,65
2019-10-20,51
2019-10-27,45
2019-11-03,51
2019-11-10,55
2019-11-17,58
2019-11-24,39
2019-12-01,31
2019-12-08,25
2019-12-15,24
2019-12-22,38
2019-12-29,42
2020-01-05,65
2020-01-12,40
2020-01-19,47
2020-01-26,49
2020-02-02,41
2020-02-09,48
2020-02-16,44
2020-02-23,43
2020-03-01,41
2020-03-08,36
2020-03-15,49
2020-03-22,48
2020-03-29,56
2020-04-05,68
2020-04-12,72
2020-04-19,59
2020-04-26,70
2020-05-03,69
2020-05-10,59
2020-05-17,54
2020-05-24,32
2020-05-31,65
2020-06-07,46
2020-06-14,57
2020-06-21,47
2020-06-28,48
2020-07-05,62
2020-07-12,64
2020-07-19,49
2020-07-26,62
2020-08-02,58
2020-08-09,65
2020-08-16,70
2020-08-23,46
2020-08-30,61
2020-09-06,45
2020-09-13,55
2020-09-20,52
2020-09-27,49
2020-10-04,68
2020-10-11,64
2020-10-18,53
2020-10-25,68
2020-11-01,100
