Category: All categories

Week,Gewürze: (Germany)
2018-04-15,42
2018-04-22,51
2018-04-29,58
2018-05-06,42
2018-05-13,49
2018-05-20,44
2018-05-27,44
2018-06-03,45
2018-06-10,41
2018-06-17,42
2018-06-24,47
2018-07-01,44
2018-07-08,51
2018-07-15,49
2018-07-22,52
2018-07-29,47
2018-08-05,48
2018-08-12,52
2018-08-19,55
2018-08-26,57
2018-09-02,52
2018-09-09,53
2018-09-16,47
2018-09-23,60
2018-09-30,67
2018-10-07,67
2018-10-14,57
2018-10-21,70
2018-10-28,69
2018-11-04,77
2018-11-11,78
2018-11-18,69
2018-11-25,80
2018-12-02,82
2018-12-09,90
2018-12-16,83
2018-12-23,75
2018-12-30,68
2019-01-06,66
2019-01-13,66
2019-01-20,60
2019-01-27,65
2019-02-03,70
2019-02-10,60
2019-02-17,61
2019-02-24,53
2019-03-03,57
2019-03-10,59
2019-03-17,61
2019-03-24,60
2019-03-31,56
2019-04-07,52
2019-04-14,57
2019-04-21,54
2019-04-28,56
2019-05-05,58
2019-05-12,50
2019-05-19,56
2019-05-26,54
2019-06-02,50
2019-06-09,53
2019-06-16,43
2019-06-23,43
2019-06-30,42
2019-07-07,47
2019-07-14,56
2019-07-21,53
2019-07-28,49
2019-08-04,57
2019-08-11,54
2019-08-18,56
2019-08-25,56
2019-09-01,53
2019-09-08,53
2019-09-15,58
2019-09-22,64
2019-09-29,67
2019-10-06,64
2019-10-13,70
2019-10-20,71
2019-10-27,69
2019-11-03,74
2019-11-10,70
2019-11-17,74
2019-11-24,81
2019-12-01,87
2019-12-08,95
2019-12-15,100
2019-12-22,91
2019-12-29,76
2020-01-05,76
2020-01-12,64
2020-01-19,68
2020-01-26,72
2020-02-02,62
2020-02-09,59
2020-02-16,67
2020-02-23,54
2020-03-01,63
2020-03-08,54
2020-03-15,50
2020-03-22,65
2020-03-29,81
2020-04-05,80
2020-04-12,76
2020-04-19,71
2020-04-26,78
2020-05-03,75
2020-05-10,66
2020-05-17,70
2020-05-24,69
2020-05-31,67
2020-06-07,64
2020-06-14,64
2020-06-21,58
2020-06-28,56
2020-07-05,71
2020-07-12,59
2020-07-19,73
2020-07-26,66
2020-08-02,74
2020-08-09,59
2020-08-16,66
2020-08-23,72
2020-08-30,73
2020-09-06,67
2020-09-13,63
2020-09-20,77
2020-09-27,88
2020-10-04,77
2020-10-11,90
2020-10-18,99
2020-10-25,88
2020-11-01,89
