Category: All categories

Week,kruiden: (Netherlands)
2018-04-15,41
2018-04-22,45
2018-04-29,48
2018-05-06,53
2018-05-13,45
2018-05-20,50
2018-05-27,47
2018-06-03,50
2018-06-10,50
2018-06-17,43
2018-06-24,44
2018-07-01,43
2018-07-08,48
2018-07-15,40
2018-07-22,36
2018-07-29,37
2018-08-05,48
2018-08-12,46
2018-08-19,45
2018-08-26,50
2018-09-02,47
2018-09-09,53
2018-09-16,51
2018-09-23,46
2018-09-30,55
2018-10-07,54
2018-10-14,48
2018-10-21,52
2018-10-28,53
2018-11-04,46
2018-11-11,56
2018-11-18,45
2018-11-25,52
2018-12-02,54
2018-12-09,54
2018-12-16,60
2018-12-23,58
2018-12-30,51
2019-01-06,60
2019-01-13,61
2019-01-20,52
2019-01-27,57
2019-02-03,57
2019-02-10,57
2019-02-17,55
2019-02-24,53
2019-03-03,48
2019-03-10,49
2019-03-17,50
2019-03-24,51
2019-03-31,56
2019-04-07,49
2019-04-14,56
2019-04-21,49
2019-04-28,61
2019-05-05,54
2019-05-12,53
2019-05-19,55
2019-05-26,58
2019-06-02,51
2019-06-09,51
2019-06-16,52
2019-06-23,49
2019-06-30,52
2019-07-07,52
2019-07-14,56
2019-07-21,60
2019-07-28,57
2019-08-04,55
2019-08-11,57
2019-08-18,61
2019-08-25,49
2019-09-01,50
2019-09-08,60
2019-09-15,63
2019-09-22,59
2019-09-29,54
2019-10-06,58
2019-10-13,61
2019-10-20,68
2019-10-27,56
2019-11-03,58
2019-11-10,58
2019-11-17,59
2019-11-24,49
2019-12-01,50
2019-12-08,54
2019-12-15,55
2019-12-22,69
2019-12-29,59
2020-01-05,65
2020-01-12,60
2020-01-19,66
2020-01-26,58
2020-02-02,60
2020-02-09,55
2020-02-16,53
2020-02-23,57
2020-03-01,54
2020-03-08,52
2020-03-15,67
2020-03-22,72
2020-03-29,82
2020-04-05,86
2020-04-12,88
2020-04-19,83
2020-04-26,100
2020-05-03,93
2020-05-10,86
2020-05-17,79
2020-05-24,84
2020-05-31,65
2020-06-07,76
2020-06-14,71
2020-06-21,59
2020-06-28,63
2020-07-05,67
2020-07-12,63
2020-07-19,65
2020-07-26,68
2020-08-02,66
2020-08-09,60
2020-08-16,67
2020-08-23,60
2020-08-30,62
2020-09-06,61
2020-09-13,62
2020-09-20,65
2020-09-27,64
2020-10-04,70
2020-10-11,71
2020-10-18,75
2020-10-25,75
2020-11-01,71
